State,District,Latitude,Longitude,District code,Population,Male,Female,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Ownership_Owned_Households,Ownership_Rented_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,sex_ratio,literacy_rate,Male_literacy_rate,Female_literacy_rate
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,330674,314084,145690,8767,620515,15966,667,190,70,220,6028,67975,839,90791,94011,74854,43418,27216,18144,2784,403030,158140,82984,134416,4877,110110,15267,2307,2690,324,59,95.0,55.0,64.0,46.0
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,769568,689307,228308,12408,1287391,149548,1313,914,295,18490,70,181510,1926,242021,214603,123650,104007,65581,59814,6780,919239,335690,203005,275519,15915,225226,33365,5420,6637,989,228,90.0,59.0,67.0,51.0
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,932334,881572,388521,9660,1107809,357253,4483,1504,328033,10205,389,314490,6163,231841,328367,275264,291391,205723,112574,15157,998769,483200,327932,339748,37265,286863,46987,8838,10693,1479,376,95.0,78.0,81.0,74.0
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,1480768,1407677,667943,20998,2055177,421410,7223,2242,383891,11360,3288,512492,9438,326195,468853,463051,525116,346876,203273,16148,1540590,783549,553265,569476,42996,469750,72743,11205,13343,1762,376,95.0,78.0,82.0,74.0
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,605520,594814,312183,17169,1009352,26502,2145,831,154458,1017,3555,227025,2932,115150,187870,208902,204435,153749,67061,12452,626978,333120,232754,243836,26370,198202,32822,4162,4670,433,75,98.0,75.0,81.0,69.0
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,1349106,1235943,373566,21093,2174672,320395,2097,824,68482,8719,399,402052,5614,309704,436446,280800,316758,206530,129996,11438,1473882,614615,494436,492304,39323,375614,96737,18848,22161,2761,552,92.0,66.0,73.0,59.0
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,1337560,1248698,603227,13770,1845424,354236,3531,1668,364229,12242,522,423036,4767,315408,457067,400342,406379,228266,113783,19619,1467457,641840,473071,496630,31267,392034,79296,14394,16802,2000,408,93.0,73.0,78.0,67.0
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,1123834,1080473,473983,21346,1780085,92297,10701,5251,286734,3861,23188,418666,8239,243773,316192,337320,351610,241179,126488,15040,1163802,629890,403719,440367,67694,397896,53264,6425,7243,707,111,96.0,72.0,78.0,65.0
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,1054031,996831,429536,20646,1825460,187901,3653,1422,13405,12818,912,315332,6065,200494,323641,208571,290656,182739,114931,14526,1167569,513908,350747,344482,54960,271935,73107,17909,21672,3094,669,95.0,63.0,69.0,57.0
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,661554,660953,281414,32525,1153861,26157,1827,2160,125282,1568,5080,239981,2866,138457,237888,231153,225595,159570,57923,9620,704214,371908,244111,266154,17945,204840,42804,6078,7017,802,137,100.0,76.0,82.0,70.0
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,606294,571051,226483,8268,863199,127552,992,643,176679,5278,103,159114,1221,175736,266649,127246,136075,74544,38698,5932,692117,281905,201828,209663,13034,152388,43401,10726,13185,2007,452,94.0,67.0,74.0,60.0
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,2197365,2032552,937174,38930,3457615,560261,7091,3091,143865,27404,9662,720791,14297,482462,735730,532587,627198,375643,229987,31008,2352671,1080237,763529,724904,125375,614318,135560,28837,34659,4845,977,92.0,68.0,74.0,62.0
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,1011473,947573,300937,16705,1504641,274221,12542,1629,152540,9619,336,288895,3791,271061,422207,218189,225331,120715,64060,9724,1150104,454836,341479,348751,29927,259264,71403,16511,19862,2754,597,94.0,61.0,69.0,52.0
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,1980658,1895343,266028,59932,3379906,286558,15573,1570,29766,154882,1274,770005,22269,321457,622362,487227,698604,395234,335413,40828,1972486,1084858,801590,699588,106291,533856,145947,34973,40799,4774,1052,96.0,73.0,79.0,67.0
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,1273140,1181056,416578,17663,2006984,367664,2387,935,66535,6387,310,381722,6217,268627,423711,296910,380344,224998,153256,18106,1406364,584243,453229,421140,44074,324131,85186,21152,26122,3973,997,93.0,67.0,73.0,61.0
